"sample_id","genotype","NR_AUDPS_BV","NR_AUDPS_BV_group","NR_AUDPS_raw","NR_AUDPS_raw_group","DNB_AUDPS_BV","DNB_AUDPS_BV_group","DNB_AUDPS_raw","DNB_AUDPS_raw_group","DBH23","change_in_branches","classification","population","family"
"T2_7002","7002","1.23775082","Susceptible","-6.766666666","Susceptible","1.40669132","Average","56.66666667","Susceptible","14.8","TRUE","Central Atlantic","GE","GE9"
"T2_7025","7025","-0.54431172","Average","-10.26666667","Average","-0.57304072","Average","12.93333333","Resistant","12.41","FALSE","Central Atlantic","BW","BW2"
"T2_7053","7053","1.81861478","Susceptible","-5.633333334","Susceptible","-0.29538596","Average","23.86666667","Average","7.8","FALSE","Central Atlantic","GE","GE9"
"T2_7055","7055","2.81686649","Susceptible","-2.233333334","Susceptible","-1.29797532","Average","27.6","Average","6.53","FALSE","Cairngorms","BB","BB2"
"T2_7069","7069","2.58648566","Susceptible","-3.933333334","Susceptible","10.51531153","Susceptible","95.73333334","Susceptible","6.84","FALSE","Hyper-oceanic","BE","BE2"
"T2_7072","7072","-1.78122733","Resistant","-15.86666667","Resistant","-7.99935756","Resistant","15.93333333","Average","16.55","FALSE","Hyper-oceanic","CG","CG2"
"T2_7078","7078","-2.57383485","Resistant","-16.23333333","Resistant","1.98022077","Average","42.53333333","Average","16.87","FALSE","Central Atlantic","GC","GC2"
"T2_7085","7085","-0.62011794","Average","-11.05","Average","4.30987914","Susceptible","46.86666667","Susceptible","15.76","FALSE","Central Atlantic","GC","GC1"
"T2_7115","7115","0.56218801","Average","-9.516666668","Average","5.84387649","Susceptible","52.93333333","Susceptible","14.16","TRUE","Cairngorms","RM","RM3"
"T2_7128","7128","-0.1564793","Average","-8.866666666","Average","-2.2158158","Average","11.8","Resistant","14.96","TRUE","Central Atlantic","GC","GC1"
"T2_7143","7143","-0.739345","Average","-12.8","Resistant","-0.76093101","Average","37.73333334","Average","14.16","FALSE","Hyper-oceanic","CR","CR4"
"T2_7148","7148","-1.18217533","Resistant","-14","Resistant","-3.50673114","Resistant","15.86666667","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T2_7154","7154","-0.5604155","Average","-12.4","Resistant","-1.60414846","Average","18.13333333","Average","13.37","FALSE","Hyper-oceanic","CR","CR7"
"T2_7156","7156","1.95896512","Susceptible","-4.733333334","Susceptible","4.52924348","Susceptible","48.53333333","Susceptible","14.64","TRUE","Hyper-oceanic","BE","BE3"
"T2_7183","7183","-0.66897154","Average","-13.1","Resistant","-0.34699096","Average","29.4","Average","13.62","TRUE","Hyper-oceanic","CR","CR7"
"T2_7197","7197","0.63776973","Average","-9.483333334","Average","-6.57454895","Resistant","12.93333333","Resistant","14.48","FALSE","Hyper-oceanic","CG","CG7"
"T2_7208","7208","-0.86665645","Average","-13.23333333","Resistant","-3.52320311","Resistant","16","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T2_7211","7211","-1.75858123","Resistant","-15.93333333","Resistant","-5.65086585","Resistant","5.4","Resistant","15.28","TRUE","Hyper-oceanic","CR","CR4"
"T2_7237","7237","2.14761031","Susceptible","-4.6","Susceptible","1.03535303","Average","38.4","Average","8.91","FALSE","Hyper-oceanic","BE","BE3"
"T2_7276","7276","0.83712725","Average","-6.366666668","Susceptible","3.30311239","Susceptible","44.93333333","Susceptible","10.5","FALSE","Central Atlantic","GC","GC2"
"T2_7294","7294","0.31728758","Average","-8.3","Average","4.67947277","Susceptible","64.40000001","Susceptible","13.05","FALSE","Central Atlantic","GC","GC1"
"T2_7326","7326","0.03033985","Average","-9.066666666","Average","10.08821383","Susceptible","91.53333333","Susceptible","13.05","FALSE","Cairngorms","BB","BB5"
"T2_7362","7362","-0.62184636","Average","-12.43333333","Resistant","-1.23309237","Average","14.6","Resistant","13.85","FALSE","Central Atlantic","BW","BW2"
"T2_7383","7383","-1.13613878","Resistant","-10.9","Average","-2.67762048","Average","10.66666667","Resistant","14.8","FALSE","Central Atlantic","GE","GE2"
"T2_7396","7396","-1.72757104","Resistant","-15.26666667","Resistant","-3.73776425","Resistant","13.2","Resistant","16.07","TRUE","Central Atlantic","BW","BW10"
"T2_7411","7411","1.07182423","Susceptible","-6.6","Susceptible","-4.00900135","Resistant","14","Resistant","14.16","FALSE","Cairngorms","RM","RM4"
"T2_7412","7412","0.9203197","Susceptible","-5.833333334","Susceptible","-0.28490271","Average","17.06666667","Average","8.28","TRUE","Cairngorms","BB","BB5"
"T2_7436","7436","0.96222629","Susceptible","-6.916666666","Susceptible","0.96754484","Average","31.2","Average","13.53","FALSE","Cairngorms","RM","RM4"
"T2_7480","7480","2.08388032","Susceptible","-4.333333334","Susceptible","3.41666269","Susceptible","40.26666667","Average","13.37","FALSE","Central Atlantic","GE","GE9"
"T2_7500","7500","1.38355896","Susceptible","-5.3","Susceptible","4.01919111","Susceptible","34.26666667","Average","12.41","TRUE","Hyper-oceanic","BE","BE2"
"T2_7507","7507","-1.92524627","Resistant","-13.6","Resistant","-2.64106614","Average","9.6","Resistant","14.48","FALSE","Central Atlantic","GC","GC2"
"T2_7510","7510","2.65798103","Susceptible","-3.4","Susceptible","6.71671584","Susceptible","47.86666667","Susceptible","5.25","FALSE","Hyper-oceanic","BE","BE2"
"T2_7514","7514","1.06436647","Susceptible","-6.166666666","Susceptible","0.56520927","Average","47.33333333","Susceptible","10.66","FALSE","Hyper-oceanic","BE","BE3"
"T2_7530","7530","1.11967578","Susceptible","-3.766666666","Susceptible","4.36784471","Susceptible","50.4","Susceptible","7.64","FALSE","Central Atlantic","GE","GE2"
"T2_7534","7534","-0.33675844","Average","-8.633333334","Average","-2.91473108","Average","14.46666667","Resistant","10.19","FALSE","Central Atlantic","BW","BW10"
"T2_7538","7538","0.94692621","Susceptible","-7.6","Average","0.62745231","Average","19.2","Average","14.8","TRUE","Cairngorms","RM","RM3"
"T2_7542","7542","1.57616638","Susceptible","-5","Susceptible","1.55838729","Average","38.6","Average","10.35","FALSE","Cairngorms","BB","BB2"
"T2_7555","7555","-1.60175181","Resistant","-12.73333333","Resistant","-2.00419702","Average","14.46666667","Resistant","13.53","FALSE","Central Atlantic","GE","GE2"
"T2_7574","7574","-0.97302659","Resistant","-13.6","Resistant","-2.79628717","Average","15.2","Average","15.92","FALSE","Hyper-oceanic","CG","CG7"
"T2_7590","7590","1.77020918","Susceptible","-5.133333334","Susceptible","-1.37487778","Average","17.8","Average","6.37","FALSE","Cairngorms","BB","BB2"
"T2_7600","7600","1.61784612","Susceptible","-2.233333334","Susceptible","7.33480655","Susceptible","64.26666667","Susceptible","8.28","FALSE","Cairngorms","BB","BB5"
"T2_7620","7620","0.28086658","Average","-9.9","Average","-1.41232707","Average","15.6","Average","12.57","FALSE","Cairngorms","RM","RM4"
"T2_7623","7623","0.38387175","Average","-9.9","Average","3.76299483","Susceptible","35.2","Average","11.94","FALSE","Cairngorms","RM","RM3"
"T2_7628","7628","-0.54464083","Average","-9.533333332","Average","-1.0690665","Average","15.26666667","Average","12.25","FALSE","Central Atlantic","BW","BW2"
"T2_7633","7633","0.12076814","Average","-8","Average","-3.77538178","Resistant","9.066666666","Resistant","13.37","FALSE","Central Atlantic","BW","BW10"
"T2_7652","7652","-0.47293618","Average","-12.86666667","Resistant","-2.2792415","Average","12.26666667","Resistant","14.16","FALSE","Hyper-oceanic","CR","CR7"
"T2_7655","7655","-1.17301321","Resistant","-15.36666667","Resistant","-3.38134897","Resistant","12.2","Resistant","13.37","FALSE","Hyper-oceanic","CG","CG7"
"T2_7671","7671","-1.0798298","Resistant","-13.5","Resistant","-4.2665735","Resistant","14.2","Resistant","15.92","FALSE","Hyper-oceanic","CR","CR4"
"T3_7002","7002","1.23775082","Susceptible","-6.766666666","Susceptible","1.40669132","Average","56.66666667","Susceptible","14.8","TRUE","Central Atlantic","GE","GE9"
"T3_7025","7025","-0.54431172","Average","-10.26666667","Average","-0.57304072","Average","12.93333333","Resistant","12.41","FALSE","Central Atlantic","BW","BW2"
"T3_7053","7053","1.81861478","Susceptible","-5.633333334","Susceptible","-0.29538596","Average","23.86666667","Average","7.8","FALSE","Central Atlantic","GE","GE9"
"T3_7055","7055","2.81686649","Susceptible","-2.233333334","Susceptible","-1.29797532","Average","27.6","Average","6.53","FALSE","Cairngorms","BB","BB2"
"T3_7069","7069","2.58648566","Susceptible","-3.933333334","Susceptible","10.51531153","Susceptible","95.73333334","Susceptible","6.84","FALSE","Hyper-oceanic","BE","BE2"
"T3_7072","7072","-1.78122733","Resistant","-15.86666667","Resistant","-7.99935756","Resistant","15.93333333","Average","16.55","FALSE","Hyper-oceanic","CG","CG2"
"T3_7078","7078","-2.57383485","Resistant","-16.23333333","Resistant","1.98022077","Average","42.53333333","Average","16.87","FALSE","Central Atlantic","GC","GC2"
"T3_7085","7085","-0.62011794","Average","-11.05","Average","4.30987914","Susceptible","46.86666667","Susceptible","15.76","FALSE","Central Atlantic","GC","GC1"
"T3_7115","7115","0.56218801","Average","-9.516666668","Average","5.84387649","Susceptible","52.93333333","Susceptible","14.16","TRUE","Cairngorms","RM","RM3"
"T3_7128","7128","-0.1564793","Average","-8.866666666","Average","-2.2158158","Average","11.8","Resistant","14.96","TRUE","Central Atlantic","GC","GC1"
"T3_7143","7143","-0.739345","Average","-12.8","Resistant","-0.76093101","Average","37.73333334","Average","14.16","FALSE","Hyper-oceanic","CR","CR4"
"T3_7148","7148","-1.18217533","Resistant","-14","Resistant","-3.50673114","Resistant","15.86666667","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T3_7154","7154","-0.5604155","Average","-12.4","Resistant","-1.60414846","Average","18.13333333","Average","13.37","FALSE","Hyper-oceanic","CR","CR7"
"T3_7156","7156","1.95896512","Susceptible","-4.733333334","Susceptible","4.52924348","Susceptible","48.53333333","Susceptible","14.64","TRUE","Hyper-oceanic","BE","BE3"
"T3_7183","7183","-0.66897154","Average","-13.1","Resistant","-0.34699096","Average","29.4","Average","13.62","TRUE","Hyper-oceanic","CR","CR7"
"T3_7197","7197","0.63776973","Average","-9.483333334","Average","-6.57454895","Resistant","12.93333333","Resistant","14.48","FALSE","Hyper-oceanic","CG","CG7"
"T3_7208","7208","-0.86665645","Average","-13.23333333","Resistant","-3.52320311","Resistant","16","Average","14.8","FALSE","Hyper-oceanic","CG","CG2"
"T3_7211","7211","-1.75858123","Resistant","-15.93333333","Resistant","-5.65086585","Resistant","5.4","Resistant","15.28","TRUE","Hyper-oceanic","CR","CR4"
"T3_7237","7237","2.14761031","Susceptible","-4.6","Susceptible","1.03535303","Average","38.4","Average","8.91","FALSE","Hyper-oceanic","BE","BE3"
"T3_7276","7276","0.83712725","Average","-6.366666668","Susceptible","3.30311239","Susceptible","44.93333333","Susceptible","10.5","FALSE","Central Atlantic","GC","GC2"
"T3_7294","7294","0.31728758","Average","-8.3","Average","4.67947277","Susceptible","64.40000001","Susceptible","13.05","FALSE","Central Atlantic","GC","GC1"
"T3_7326","7326","0.03033985","Average","-9.066666666","Average","10.08821383","Susceptible","91.53333333","Susceptible","13.05","FALSE","Cairngorms","BB","BB5"
"T3_7362","7362","-0.62184636","Average","-12.43333333","Resistant","-1.23309237","Average","14.6","Resistant","13.85","FALSE","Central Atlantic","BW","BW2"
"T3_7383","7383","-1.13613878","Resistant","-10.9","Average","-2.67762048","Average","10.66666667","Resistant","14.8","FALSE","Central Atlantic","GE","GE2"
"T3_7396","7396","-1.72757104","Resistant","-15.26666667","Resistant","-3.73776425","Resistant","13.2","Resistant","16.07","TRUE","Central Atlantic","BW","BW10"
"T3_7411","7411","1.07182423","Susceptible","-6.6","Susceptible","-4.00900135","Resistant","14","Resistant","14.16","FALSE","Cairngorms","RM","RM4"
"T3_7412","7412","0.9203197","Susceptible","-5.833333334","Susceptible","-0.28490271","Average","17.06666667","Average","8.28","TRUE","Cairngorms","BB","BB5"
"T3_7436","7436","0.96222629","Susceptible","-6.916666666","Susceptible","0.96754484","Average","31.2","Average","13.53","FALSE","Cairngorms","RM","RM4"
"T3_7480","7480","2.08388032","Susceptible","-4.333333334","Susceptible","3.41666269","Susceptible","40.26666667","Average","13.37","FALSE","Central Atlantic","GE","GE9"
"T3_7500","7500","1.38355896","Susceptible","-5.3","Susceptible","4.01919111","Susceptible","34.26666667","Average","12.41","TRUE","Hyper-oceanic","BE","BE2"
"T3_7507","7507","-1.92524627","Resistant","-13.6","Resistant","-2.64106614","Average","9.6","Resistant","14.48","FALSE","Central Atlantic","GC","GC2"
"T3_7510","7510","2.65798103","Susceptible","-3.4","Susceptible","6.71671584","Susceptible","47.86666667","Susceptible","5.25","FALSE","Hyper-oceanic","BE","BE2"
"T3_7514","7514","1.06436647","Susceptible","-6.166666666","Susceptible","0.56520927","Average","47.33333333","Susceptible","10.66","FALSE","Hyper-oceanic","BE","BE3"
"T3_7530","7530","1.11967578","Susceptible","-3.766666666","Susceptible","4.36784471","Susceptible","50.4","Susceptible","7.64","FALSE","Central Atlantic","GE","GE2"
"T3_7534","7534","-0.33675844","Average","-8.633333334","Average","-2.91473108","Average","14.46666667","Resistant","10.19","FALSE","Central Atlantic","BW","BW10"
"T3_7538","7538","0.94692621","Susceptible","-7.6","Average","0.62745231","Average","19.2","Average","14.8","TRUE","Cairngorms","RM","RM3"
"T3_7542","7542","1.57616638","Susceptible","-5","Susceptible","1.55838729","Average","38.6","Average","10.35","FALSE","Cairngorms","BB","BB2"
"T3_7555","7555","-1.60175181","Resistant","-12.73333333","Resistant","-2.00419702","Average","14.46666667","Resistant","13.53","FALSE","Central Atlantic","GE","GE2"
"T3_7574","7574","-0.97302659","Resistant","-13.6","Resistant","-2.79628717","Average","15.2","Average","15.92","FALSE","Hyper-oceanic","CG","CG7"
"T3_7590","7590","1.77020918","Susceptible","-5.133333334","Susceptible","-1.37487778","Average","17.8","Average","6.37","FALSE","Cairngorms","BB","BB2"
"T3_7600","7600","1.61784612","Susceptible","-2.233333334","Susceptible","7.33480655","Susceptible","64.26666667","Susceptible","8.28","FALSE","Cairngorms","BB","BB5"
"T3_7620","7620","0.28086658","Average","-9.9","Average","-1.41232707","Average","15.6","Average","12.57","FALSE","Cairngorms","RM","RM4"
"T3_7623","7623","0.38387175","Average","-9.9","Average","3.76299483","Susceptible","35.2","Average","11.94","FALSE","Cairngorms","RM","RM3"
"T3_7628","7628","-0.54464083","Average","-9.533333332","Average","-1.0690665","Average","15.26666667","Average","12.25","FALSE","Central Atlantic","BW","BW2"
"T3_7633","7633","0.12076814","Average","-8","Average","-3.77538178","Resistant","9.066666666","Resistant","13.37","FALSE","Central Atlantic","BW","BW10"
"T3_7652","7652","-0.47293618","Average","-12.86666667","Resistant","-2.2792415","Average","12.26666667","Resistant","14.16","FALSE","Hyper-oceanic","CR","CR7"
"T3_7655","7655","-1.17301321","Resistant","-15.36666667","Resistant","-3.38134897","Resistant","12.2","Resistant","13.37","FALSE","Hyper-oceanic","CG","CG7"
"T3_7671","7671","-1.0798298","Resistant","-13.5","Resistant","-4.2665735","Resistant","14.2","Resistant","15.92","FALSE","Hyper-oceanic","CR","CR4"
